Date,Open*,High,Low,Close**,Volume,Market Cap
1/3/2022,$0.10,$0.11,$0.10,$0.11,"$90,920,263","$1,131,261,152"
1/2/2022,$0.11,$0.11,$0.10,$0.10,"$51,516,626","$1,065,452,000"
1/1/2022,$0.10,$0.11,$0.10,$0.11,"$84,715,363","$1,116,154,109"
12/31/2021,$0.09,$0.11,$0.09,$0.10,"$92,346,982","$1,027,538,965"
12/30/2021,$0.09,$0.10,$0.09,$0.09,"$60,185,904","$988,033,103"
12/29/2021,$0.10,$0.10,$0.09,$0.09,"$71,715,974","$968,981,763"
12/28/2021,$0.11,$0.11,$0.09,$0.10,"$115,716,258","$994,246,657"
12/27/2021,$0.10,$0.12,$0.10,$0.11,"$171,566,286","$1,158,689,227"
12/26/2021,$0.10,$0.10,$0.09,$0.10,"$37,773,746","$1,020,136,735"
12/25/2021,$0.10,$0.10,$0.09,$0.10,"$31,655,249","$1,003,809,084"
12/24/2021,$0.09,$0.10,$0.09,$0.10,"$53,925,737","$998,429,966"
12/23/2021,$0.09,$0.10,$0.09,$0.09,"$59,456,628","$981,320,528"
12/22/2021,$0.08,$0.09,$0.08,$0.09,"$32,943,722","$909,632,327"
12/21/2021,$0.08,$0.09,$0.08,$0.08,"$34,690,822","$874,898,278"
12/20/2021,$0.08,$0.08,$0.08,$0.08,"$42,187,526","$842,319,008"
12/19/2021,$0.08,$0.08,$0.08,$0.08,"$26,180,767","$834,946,681"
12/18/2021,$0.08,$0.08,$0.08,$0.08,"$25,414,559","$847,291,295"
12/17/2021,$0.08,$0.09,$0.08,$0.08,"$35,596,942","$840,357,509"
12/16/2021,$0.09,$0.09,$0.08,$0.08,"$27,319,681","$872,573,657"
12/15/2021,$0.08,$0.09,$0.08,$0.09,"$41,138,408","$894,222,444"
12/14/2021,$0.08,$0.08,$0.08,$0.08,"$43,446,220","$835,575,088"
12/13/2021,$0.09,$0.09,$0.08,$0.08,"$35,847,516","$826,005,558"
12/12/2021,$0.09,$0.09,$0.09,$0.09,"$30,164,685","$913,523,630"
12/11/2021,$0.08,$0.09,$0.08,$0.09,"$44,116,031","$904,435,498"
12/10/2021,$0.09,$0.09,$0.08,$0.08,"$40,597,377","$844,689,435"
12/9/2021,$0.09,$0.09,$0.08,$0.09,"$38,629,231","$873,239,230"
12/8/2021,$0.09,$0.09,$0.09,$0.09,"$42,063,001","$951,046,881"
12/7/2021,$0.09,$0.10,$0.09,$0.09,"$42,713,174","$944,784,024"
12/6/2021,$0.09,$0.09,$0.08,$0.09,"$58,972,055","$945,648,511"
12/5/2021,$0.09,$0.09,$0.08,$0.09,"$57,622,708","$914,522,199"
12/4/2021,$0.11,$0.11,$0.07,$0.09,"$125,314,238","$946,100,251"
12/3/2021,$0.11,$0.12,$0.10,$0.11,"$116,304,469","$1,074,915,417"
12/2/2021,$0.11,$0.11,$0.10,$0.11,"$42,960,591","$1,079,891,785"
12/1/2021,$0.11,$0.11,$0.11,$0.11,"$47,132,628","$1,098,490,552"
11/30/2021,$0.11,$0.11,$0.11,$0.11,"$56,325,260","$1,096,526,577"
11/29/2021,$0.11,$0.11,$0.11,$0.11,"$46,913,687","$1,134,845,433"
11/28/2021,$0.11,$0.12,$0.10,$0.11,"$94,136,597","$1,137,780,976"
11/27/2021,$0.10,$0.11,$0.10,$0.11,"$74,131,600","$1,117,333,160"
11/26/2021,$0.11,$0.11,$0.10,$0.10,"$87,751,855","$1,045,517,996"
11/25/2021,$0.11,$0.12,$0.11,$0.11,"$52,466,132","$1,138,775,429"
